,property_type,state,lat,lon,area_m2,price_usd
226,apartment,Veracruz de Ignacio de la Llave,,,250,94835.67
227,apartment,Distrito Federal,19.36594,-99.163153,85,106848.18
228,house,Veracruz de Ignacio de la Llave,19.146434,-96.161783,91,42149.18
229,house,Chihuahua,,,187,73778.56
230,apartment,Distrito Federal,,,81,161826.53
231,apartment,Guerrero,,,155,123842.59
232,house,Querétaro,,,270,163366.83
233,house,Yucatán,21.035221,-89.635757,204,93781.94
234,house,Guerrero,16.86432868,-99.88790821,170,115937.75
235,house,Querétaro,20.726007,-100.442642,180,109324.45
236,house,Sinaloa,23.261934,-106.408936,124,67702.13
237,house,Quintana Roo,21.139086,-86.84964,66,36880.53
238,house,Veracruz de Ignacio de la Llave,25.535524,-103.379302,276,63223.78
239,house,Puebla,,,262,173865.39
240,house,Yucatán,21.0043658,-89.5614233,79,36889.28
241,apartment,Distrito Federal,19.364613,-99.161892,70,93255.07
242,apartment,Distrito Federal,19.366505,-99.222297,72,64281.19
243,house,Veracruz de Ignacio de la Llave,,,146,46902.09
244,house,Querétaro,20.6521079,-100.3491545,250,144922.18
245,house,Yucatán,21.03504976,-89.59907413,137,78995.76
246,apartment,Distrito Federal,19.354947,-99.087529,65,37386.32
247,house,Yucatán,21.008295,-89.591019,142,91169.23
248,house,Querétaro,20.6476044,-100.35253,150,104319.23
249,house,Yucatán,21.030668,-89.599258,305,184182.92
250,house,Distrito Federal,19.371317,-99.140957,300,123981.30
251,apartment,Veracruz de Ignacio de la Llave,19.1356101,-96.1142685,105,50064.02
252,apartment,Distrito Federal,19.377169,-99.187643,90,56514.99
253,apartment,Distrito Federal,19.381591,-99.165397,124,270872.74
254,apartment,Morelos,,,210,221283.23
255,house,San Luis Potosí,,,181,146731.85
256,house,Yucatán,21.039522,-89.563911,230,92223.21
257,house,Jalisco,20.755833,-103.413251,180,144887.83
258,house,Querétaro,,,121,84237.78
259,house,Veracruz de Ignacio de la Llave,,,108,41358.88
260,house,Estado de México,19.27223,-99.575691,300,184446.42
261,apartment,Veracruz de Ignacio de la Llave,19.191416,-96.127518,70,62448.28
262,house,San Luis Potosí,22.121187,-100.951736,154,57968.87
263,house,Tabasco,17.987557,-92.929147,150,71126.75
264,house,Morelos,,,367,189671.34
265,house,Puebla,,,120,78091.53
266,house,Estado de México,19.4653884,-99.5940417,70,39524.23
267,house,Morelos,18.8493694,-98.9479805,250,84298.37
268,house,Yucatán,21.05294348,-89.66792107,141,62975.27
269,house,Morelos,18.942068,-99.242531,320,289844.37
270,house,Guerrero,16.808875,-99.821739,104,102738.64
271,apartment,Estado de México,19.531773,-99.245873,174,326656.19
272,house,Tamaulipas,25.860595,-97.504808,212,71126.75
273,house,Guanajuato,21.1666103,-101.6315416,210,131716.20
274,house,Morelos,18.882006,-99.148384,240,100104.31
275,apartment,Puebla,19.002178,-98.271063,87,173986.78
276,house,Estado de México,19.425918,-99.230123,300,215222.62
277,house,Colima,,,103,66384.96
278,house,Morelos,18.8736789,-99.1922665,257,188398.84
279,house,San Luis Potosí,22.186096,-101.005652,240,144887.83
280,house,Morelos,,,360,237145.40
281,house,Yucatán,21.075163,-89.516731,189,86932.69
282,house,Chihuahua,,,246,68492.42
283,house,Puebla,18.984862,-98.222234,289,226551.88
284,apartment,Distrito Federal,19.3650311,-99.1477363,83,139652.29
285,apartment,Morelos,18.917393,-99.221062,127,57955.13
286,house,Distrito Federal,19.399375,-99.149986,95,246994.23
287,house,Baja California,32.5622552,-115.3169575,75,42149.18
288,apartment,Distrito Federal,19.452689,-99.117987,60,36269.27
289,house,Distrito Federal,19.336104,-99.101761,70,50087.30
290,house,Zacatecas,23.634501,-102.552788,138,63223.78
291,house,Veracruz de Ignacio de la Llave,,,140,55320.80
292,house,Jalisco,20.567506,-103.48332,149,110588.92
293,house,Nayarit,20.722561,-105.270132,84,39514.86
294,house,Morelos,,,360,136984.85
295,apartment,Distrito Federal,19.3987957,-99.1594498,110,274034.68
296,house,San Luis Potosí,22.1176283,-101.0151243,380,266066.74
297,house,Yucatán,21.006756,-89.570984,90,39462.17
298,house,Veracruz de Ignacio de la Llave,25.510739,-103.357425,140,39514.86
299,house,Tamaulipas,22.2695545,-97.8750355,140,71301.71
300,house,Yucatán,,,154,89324.76
301,house,Estado de México,19.3308425,-99.5817205,140,121207.64
302,house,Estado de México,19.2398293,-99.617673,332,242415.29
303,house,Estado de México,19.4689569,-99.2727792,372,144887.83
304,house,Morelos,18.917542,-98.963181,200,131747.44
305,house,Estado de México,,,230,78502.86
306,apartment,Nuevo León,,,132,259350.11
307,house,Tabasco,17.97280546,-92.95154875,134,104343.97
308,house,Nuevo León,25.79255,-100.274638,159,74972.86
309,apartment,Distrito Federal,19.3928136,-99.1738213,112,312957.71
310,house,Sinaloa,24.804811,-107.46476,95,47417.83
311,house,Aguascalientes,21.905983,-102.286817,157,41622.32
312,house,Morelos,18.900945,-99.232574,279,142253.50
313,house,Tamaulipas,22.2900902,-97.8437788,75,34254.33
314,apartment,Distrito Federal,19.375374,-99.137657,80,34077.61
315,house,Nuevo León,25.660711,-100.289459,222,118544.58
316,house,Guanajuato,,,216,94858.16
317,apartment,Puebla,19.02065826,-98.22384596,100,103606.19
318,house,Yucatán,20.96083848,-89.62156874,160,52159.61
319,apartment,Distrito Federal,19.409369,-99.171906,83,263494.89
320,house,Estado de México,,,110,141726.64
321,house,Nuevo León,25.7584835,-100.4052434,131,92023.21
322,house,Nuevo León,25.712547,-100.249496,210,83000.89
323,house,Yucatán,21.05119626,-89.53858227,168,80112.98
324,house,Puebla,,,260,200256.11
325,house,Puebla,19.09276402,-98.22678055,100,51644.99
326,house,Chiapas,,,212,252895.12
327,house,Jalisco,20.792152,-103.475021,104,39514.86
328,house,Guanajuato,21.121012,-101.600136,207,121207.64
329,house,Morelos,,,302,197621.16
330,house,San Luis Potosí,22.18307725,-101.0302325,92,34781.32
331,apartment,Distrito Federal,19.404032,-99.179694,103,209902.95
332,house,Chiapas,,,168,84298.37
333,house,Morelos,18.814863,-99.211439,97,68492.42
334,apartment,Distrito Federal,19.368544,-99.163605,105,284507.01
335,house,Puebla,19.0550344,-98.2731403,330,189716.32
336,house,Yucatán,21.04307817,-89.55160305,190,89061.27
337,house,Estado de México,19.699144,-98.978363,180,68492.42
338,apartment,Distrito Federal,19.341894,-99.224525,96,156958.30
339,house,Querétaro,20.596285,-100.357695,300,144887.83
340,apartment,Guerrero,,,141,100128.05
341,apartment,Puebla,19.035632,-98.223132,92,109587.88
342,house,Puebla,19.0217424,-98.2604216,215,155461.98
343,house,Chiapas,19.987465,-102.284888,330,210745.93
344,apartment,Morelos,18.957352,-99.260544,76,52698.97
345,house,Morelos,18.845494,-99.20547,136,71765.83
346,apartment,Distrito Federal,19.366901,-99.297272,65,109387.67
347,house,San Luis Potosí,22.18408015,-101.0286072,110,39830.98
348,house,Estado de México,19.615452,-99.206348,70,47681.26
349,house,Estado de México,19.590134,-99.280419,100,44783.51
350,house,Distrito Federal,19.473907,-99.177444,320,91042.24
351,house,San Luis Potosí,22.149093,-100.889863,180,45321.12
352,house,Estado de México,,,326,200203.41
353,house,Estado de México,19.641889,-99.1774462,250,79048.46
354,house,Veracruz de Ignacio de la Llave,19.089373,-96.130805,168,94835.67
355,house,Querétaro,20.606224,-100.329168,165,97469.99
356,house,Yucatán,21.001256,-89.600723,325,183296.27
357,house,Morelos,,,180,69562.65
358,apartment,Morelos,,,205,131747.44
359,apartment,Nuevo León,25.7302897,-100.3965403,160,104497.22
360,house,Morelos,,,225,42043.81
361,house,Puebla,19.004742,-98.235992,180,63223.78
362,house,Morelos,18.920158,-99.180214,85,48734.99
363,house,Morelos,18.916586,-99.214371,272,262967.90
364,house,Puebla,19.063091,-98.296013,252,130873.22
365,apartment,Distrito Federal,19.371321,-99.140985,84,93465.82
366,apartment,Puebla,19.0378006,-98.3007086,120,166001.78
367,apartment,Distrito Federal,19.362824,-99.266178,162,210745.93
368,house,Chiapas,16.780325,-93.119637,180,105372.96
369,house,Yucatán,21.039522,-89.563911,178,60076.83
370,apartment,Distrito Federal,19.465454,-99.162665,69,75375.18
371,house,Jalisco,20.700756,-103.333385,300,94308.80
372,house,Baja California Sur,22.886851,-109.946872,94,50485.62
373,house,Querétaro,20.549404,-100.378563,110,76395.40
374,house,Distrito Federal,19.353288,-99.244721,150,136405.30
375,house,Estado de México,19.278994,-99.559006,136,89567.02
376,house,Puebla,18.985191,-98.186447,148,105372.96
377,apartment,Jalisco,20.67603,-103.425418,125,157479.90
378,house,Guanajuato,,,330,280818.95
379,house,Veracruz de Ignacio de la Llave,,,240,89588.26
380,apartment,Guerrero,16.87630091,-99.88293272,88,39260.73
381,house,Nayarit,21.525436,-104.923553,115,47429.08
382,apartment,Chiapas,16.748743,-93.066491,73,43202.91
383,apartment,Distrito Federal,19.432657,-99.177444,150,135085.08
384,house,Querétaro,20.618279,-100.346985,160,99601.06
385,house,Estado de México,19.72876,-99.461708,236,237145.40
386,house,Veracruz de Ignacio de la Llave,25.51506,-103.413092,230,44783.51
387,house,Chiapas,,,72,39514.86
388,house,Querétaro,20.419854,-99.998039,89,40568.59
389,house,Morelos,18.804197,-98.932816,117,65858.10
390,apartment,San Luis Potosí,22.133104,-100.982117,100,53740.21
391,apartment,Distrito Federal,19.400249,-99.177444,150,273969.71
392,house,Distrito Federal,,,60,63223.78
393,house,Yucatán,21.03071,-89.618103,382,223970.65
394,house,Jalisco,20.649154,-105.202538,90,33719.34
395,house,Baja California,32.426032,-117.033916,140,62570.46
396,house,Tamaulipas,26.058614,-98.322969,252,66933.76
397,house,Veracruz de Ignacio de la Llave,25.599048,-103.412397,189,64277.51
398,house,Baja California Sur,24.129181,-110.31971,110,68492.42
399,house,Tamaulipas,22.238298,-97.841892,200,110641.61
400,house,Puebla,19.046561,-98.190349,110,100735.92
401,apartment,Distrito Federal,19.451872,-99.173522,70,66911.83
402,house,Estado de México,19.253367,-99.606303,260,324021.87
403,house,Sonora,29.0287123,-110.97103,200,47417.83
404,apartment,Distrito Federal,19.45569471,-99.16357613,76,121355.20
405,house,Jalisco,20.7670434,-103.3941011,195,135931.12
406,apartment,Distrito Federal,19.336195,-99.23692,100,74920.17
407,apartment,Puebla,,,212,282821.04
408,house,San Luis Potosí,22.1564699,-100.9855409,110,39524.23
409,apartment,Morelos,,,124,152790.80
410,house,Yucatán,21.0634817,-89.6110378,296,137017.34
411,house,Yucatán,21.135925,-89.6446768,200,79029.72
412,house,Querétaro,20.547818,-100.407691,80,51632.75
413,house,Morelos,18.954132,-99.266083,210,86932.69
414,house,Quintana Roo,21.152508,-86.850891,180,89040.15
415,house,Morelos,18.882725,-99.163605,112,86953.31
416,house,Tabasco,17.97423,-92.923836,60,34246.21
417,house,Chiapas,16.740764,-93.089951,148,84298.37
418,house,Nuevo León,25.764894,-100.264221,160,65858.10
419,apartment,Querétaro,20.60782,-100.366721,110,131716.20
420,house,Distrito Federal,19.469688,-99.085456,248,176541.57
421,apartment,Distrito Federal,19.27112369,-99.20883894,72,40645.77
422,apartment,Jalisco,20.723133,-103.418115,84,178080.31
423,apartment,Distrito Federal,,,72,84318.36
424,house,Chiapas,16.76764,-93.178283,250,173865.39
425,house,Yucatán,20.9673702,-89.5925857,290,123315.60
426,house,Yucatán,21.017197,-89.574516,158,102763.00
427,house,Morelos,18.862602,-99.213448,320,173906.62
428,house,Veracruz de Ignacio de la Llave,19.123617,-96.113161,220,99577.45
429,house,Distrito Federal,19.355938,-99.129918,200,315618.38
430,house,Baja California Sur,19.35913,-98.983431,189,62696.91
431,house,Yucatán,20.989016,-89.632225,300,131747.44
432,house,Yucatán,,,220,112617.71
433,house,Quintana Roo,,,81,45321.12
434,house,Veracruz de Ignacio de la Llave,25.453195,-100.935486,203,94818.28
435,house,Yucatán,20.938659,-89.615316,173,50052.15
436,house,Tamaulipas,22.270658,-97.849037,263,176541.57
437,house,Chiapas,16.78141,-93.096451,87,51381.50
438,apartment,Estado de México,,,157,216014.58
439,house,Chiapas,19.691938,-101.176615,220,155425.12
440,house,Estado de México,19.64079,-99.098691,105,68492.42
441,apartment,Puebla,19.011347,-98.246264,139,179134.04
442,house,Jalisco,20.647029,-103.454953,122,77975.99
443,house,Morelos,18.905066,-99.224869,120,121178.91
444,house,Veracruz de Ignacio de la Llave,19.06681288,-96.07347608,271,173865.39
445,house,Distrito Federal,,,308,191283.81
446,house,Querétaro,20.705742,-100.444016,350,184446.42
447,house,Estado de México,19.54323,-99.222374,181,154950.94
448,house,Sinaloa,24.8090649,-107.3940117,212,112222.21
449,house,Tamaulipas,25.872879,-97.509221,287,115910.26
450,house,Distrito Federal,19.373264,-99.104161,250,135430.60
451,apartment,Distrito Federal,19.383952,-99.160229,100,174140.42
452,house,Chiapas,16.757278,-93.134056,298,181084.17
453,house,Tamaulipas,22.320061,-97.86808,67,35835.30
454,house,Guanajuato,20.58343642,-101.1981905,180,131747.44
455,apartment,Distrito Federal,19.396018,-99.147827,80,183989.52
456,house,Chiapas,19.646418,-101.238213,153,97469.99
457,house,Estado de México,19.5896123,-99.2907617,60,34254.33
458,house,Querétaro,20.631845,-100.390495,315,237089.17
459,house,Querétaro,,,180,120125.18
460,house,Baja California Sur,24.083153,-110.303329,65,33358.45
461,house,Veracruz de Ignacio de la Llave,19.144342,-96.139002,140,68492.42
462,house,Estado de México,19.272027,-99.553293,107,71653.61
463,house,Sonora,,,301,135404.26
464,house,Baja California,,,61,38461.13
465,house,Hidalgo,20.1010608,-98.7591311,320,192305.66
466,house,Veracruz de Ignacio de la Llave,18.1495449,-94.5140773,104,57955.13
467,apartment,Distrito Federal,19.333901,-99.240356,85,179134.04
468,apartment,Distrito Federal,19.390031,-99.174182,108,209692.20
469,house,Nuevo León,25.781807,-100.187794,155,65858.10
470,apartment,Distrito Federal,,,170,289775.66
471,house,Querétaro,20.7012562,-100.4654217,295,187081.37
472,apartment,Distrito Federal,19.365834,-99.263505,126,180187.77
473,house,Yucatán,20.9637793,-89.6612548,249,44783.51
474,apartment,Estado de México,19.404701,-99.292419,300,284047.49
475,house,Veracruz de Ignacio de la Llave,18.879525,-96.921847,123,55320.80
476,house,Puebla,18.978682,-98.250015,162,88513.29
477,house,Querétaro,20.6205869,-100.388042,322,209955.63
478,house,Morelos,,,186,100104.31
479,house,Morelos,,,147,113275.94
480,apartment,Nuevo León,25.654263,-100.297874,114,55333.92
481,house,Estado de México,19.180459,-99.590174,175,134382.39
482,apartment,Durango,24.010702,-104.613602,88,43213.16
483,apartment,Distrito Federal,19.474655,-99.189277,60,40041.72
484,apartment,Querétaro,20.65449,-100.384446,160,250320.14
485,house,Veracruz de Ignacio de la Llave,25.569556,-103.383702,244,101158.04
486,house,Morelos,18.813505,-98.953514,66,34246.21
487,house,Quintana Roo,21.118165,-86.880921,189,118544.58
488,apartment,Tabasco,17.972448,-92.960579,104,57968.87
489,house,Veracruz de Ignacio de la Llave,19.165146,-96.160652,220,139619.18
490,apartment,Distrito Federal,19.3499358,-99.2906864,78,147557.13
491,apartment,Estado de México,19.402713,-99.27547,130,101196.61
492,house,Yucatán,,,185,123315.60
493,house,Morelos,18.948109,-99.26886,200,155461.98
494,house,Querétaro,20.5887932,-100.3898881,334,279238.36
495,apartment,Distrito Federal,19.406592,-99.155442,90,224660.17
496,house,Nuevo León,25.677525,-100.258614,257,115937.75
497,house,Distrito Federal,,,196,69720.74
498,house,Chihuahua,,,108,41095.45
499,house,Distrito Federal,19.318989,-99.094437,100,98523.72
500,house,Querétaro,20.712143,-100.454275,230,152790.80
